Total cost: 10602
Unconnected houses: 0
These houses have been connected:
(9, 23), 29.43663895, (None, None), (None, None), 0, True
(9, 48), 41.7880369, (None, None), (None, None), 0, True
(8, 3), 31.03872389, (None, None), (None, None), 0, True
(27, 22), 29.92408755, (None, None), (None, None), 0, True
(18, 32), 32.63123071, (None, None), (None, None), 0, True
(49, 44), 39.82123377, (None, None), (None, None), 0, True
(34, 50), 41.71675352, (None, None), (None, None), 0, True
(18, 37), 70.21473166, (None, None), (None, None), 0, True
(16, 3), 33.61818802, (None, None), (None, None), 0, True
(42, 40), 41.46231813, (None, None), (None, None), 0, True
(3, 7), 58.40033018, (None, None), (None, None), 0, True
(20, 14), 45.14508246, (None, None), (None, None), 0, True
(34, 8), 41.23924682, (None, None), (None, None), 0, True
(5, 15), 52.08494864, (None, None), (None, None), 0, True
(1, 18), 45.25994244, (None, None), (None, None), 0, True
(50, 3), 60.5787997, (None, None), (None, None), 0, True
(10, 39), 46.25506287, (None, None), (None, None), 0, True
(40, 39), 40.72933179, (None, None), (None, None), 0, True
(8, 6), 30.48448777, (None, None), (None, None), 0, True
(20, 3), 67.12368936, (None, None), (None, None), 0, True
(9, 50), 38.5524821, (None, None), (None, None), 0, True
(21, 11), 47.29043731, (None, None), (None, None), 0, True
(4, 38), 28.04976611, (None, None), (None, None), 0, True
(4, 3), 45.9393011, (None, None), (None, None), 0, True
(24, 18), 38.3766668, (None, None), (None, None), 0, True
(2, 50), 29.93133051, (None, None), (None, None), 0, True
(20, 11), 40.20336825, (None, None), (None, None), 0, True
(50, 35), 54.25835415, (None, None), (None, None), 0, True
(7, 25), 38.50460131, (None, None), (None, None), 0, True
(34, 47), 53.97543253, (None, None), (None, None), 0, True
(24, 30), 76.1538049, (None, None), (None, None), 0, True
(20, 34), 44.9319234, (None, None), (None, None), 0, True
(39, 14), 49.16852893, (None, None), (None, None), 0, True
(4, 5), 43.28587772, (None, None), (None, None), 0, True
(25, 40), 67.70113184, (None, None), (None, None), 0, True
(46, 42), 66.07952654, (None, None), (None, None), 0, True
(9, 37), 63.19785578, (None, None), (None, None), 0, True
###################
This is the network for battery (38, 12).
End capacity: 9.709965650000385
Cable count: 210
--------------------

Cable Coordinates: 
(15, 27)
(11, 11)
(31, 19)
(22, 44)
(46, 25)
(23, 41)
(13, 17)
(37, 20)
(18, 30)
(42, 35)
(4, 0)
(5, 5)
(31, 22)
(40, 19)
(37, 26)
(11, 27)
(43, 14)
(46, 26)
(23, 44)
(31, 35)
(38, 17)
(13, 20)
(37, 23)
(42, 41)
(18, 35)
(42, 36)
(25, 38)
(22, 48)
(4, 16)
(9, 16)
(26, 37)
(31, 24)
(14, 15)
(23, 38)
(31, 21)
(38, 15)
(27, 22)
(16, 38)
(31, 38)
(38, 18)
(13, 23)
(39, 14)
(3, 12)
(42, 42)
(16, 41)
(18, 36)
(11, 15)
(26, 38)
(6, 16)
(31, 31)
(11, 16)
(46, 16)
(12, 27)
(51, 16)
(18, 15)
(31, 37)
(13, 26)
(3, 11)
(28, 22)
(33, 18)
(42, 47)
(44, 30)
(5, 1)
(19, 33)
(11, 10)
(31, 18)
(36, 18)
(1, 16)
(23, 40)
(13, 16)
(37, 19)
(38, 21)
(51, 15)
(44, 16)
(18, 31)
(40, 14)
(5, 4)
(37, 25)
(23, 47)
(31, 34)
(13, 19)
(37, 22)
(38, 22)
(17, 27)
(18, 32)
(42, 37)
(19, 38)
(44, 32)
(45, 24)
(5, 7)
(27, 38)
(31, 27)
(31, 20)
(38, 12)
(37, 28)
(33, 33)
(16, 39)
(31, 33)
(13, 22)
(3, 15)
(17, 38)
(41, 33)
(42, 43)
(2, 8)
(18, 37)
(42, 38)
(20, 38)
(11, 14)
(24, 22)
(31, 30)
(28, 38)
(17, 15)
(32, 33)
(31, 36)
(13, 25)
(40, 33)
(35, 33)
(18, 27)
(3, 10)
(42, 44)
(29, 22)
(44, 31)
(18, 38)
(43, 33)
(23, 15)
(21, 48)
(5, 0)
(3, 16)
(8, 16)
(11, 13)
(31, 29)
(23, 43)
(37, 18)
(34, 33)
(39, 19)
(3, 9)
(18, 28)
(42, 33)
(37, 33)
(44, 28)
(5, 3)
(41, 14)
(23, 48)
(5, 16)
(10, 16)
(46, 24)
(37, 24)
(16, 27)
(23, 46)
(13, 18)
(37, 21)
(36, 33)
(18, 33)
(42, 34)
(44, 33)
(39, 33)
(5, 6)
(31, 26)
(30, 22)
(35, 18)
(0, 16)
(7, 16)
(31, 23)
(38, 13)
(12, 16)
(42, 14)
(37, 27)
(23, 45)
(31, 32)
(38, 16)
(13, 21)
(3, 14)
(47, 16)
(42, 40)
(44, 27)
(34, 18)
(18, 34)
(24, 38)
(38, 33)
(42, 39)
(14, 27)
(10, 27)
(16, 15)
(22, 38)
(21, 38)
(31, 25)
(25, 22)
(23, 39)
(15, 15)
(38, 14)
(29, 38)
(30, 38)
(2, 16)
(13, 24)
(3, 13)
(42, 45)
(16, 40)
(45, 16)
(21, 44)
(11, 12)
(31, 28)
(23, 42)
(26, 22)
(32, 18)
(13, 27)
(3, 8)
(18, 29)
(42, 46)
(44, 29)
(5, 2)
###################
This is the network for battery (43, 13).
End capacity: 9.5582094299996
Cable count: 232
--------------------

Cable Coordinates: 
(34, 7)
(1, 34)
(45, 45)
(7, 12)
(37, 7)
(12, 12)
(44, 4)
(10, 46)
(13, 30)
(13, 32)
(29, 27)
(19, 40)
(11, 48)
(33, 3)
(29, 8)
(45, 35)
(24, 27)
(16, 3)
(21, 34)
(15, 11)
(29, 34)
(19, 3)
(15, 4)
(21, 12)
(10, 35)
(29, 17)
(12, 34)
(23, 10)
(15, 34)
(29, 30)
(28, 10)
(44, 39)
(22, 48)
(21, 40)
(29, 11)
(45, 38)
(13, 48)
(26, 37)
(24, 24)
(31, 24)
(21, 37)
(36, 24)
(5, 34)
(29, 37)
(10, 41)
(43, 13)
(25, 10)
(3, 12)
(10, 36)
(8, 12)
(22, 12)
(29, 20)
(33, 4)
(30, 11)
(53, 4)
(19, 34)
(40, 7)
(29, 14)
(45, 41)
(28, 37)
(43, 7)
(26, 24)
(23, 37)
(10, 42)
(43, 8)
(9, 34)
(17, 34)
(23, 3)
(29, 23)
(4, 12)
(2, 12)
(37, 47)
(33, 7)
(32, 9)
(36, 7)
(45, 44)
(3, 34)
(39, 7)
(31, 47)
(10, 47)
(38, 24)
(13, 29)
(34, 47)
(22, 10)
(29, 26)
(14, 34)
(33, 2)
(31, 11)
(29, 7)
(45, 34)
(24, 28)
(45, 47)
(15, 10)
(29, 33)
(15, 7)
(22, 29)
(15, 48)
(29, 16)
(28, 24)
(43, 39)
(33, 24)
(16, 48)
(13, 34)
(29, 29)
(44, 32)
(25, 37)
(29, 10)
(45, 37)
(24, 25)
(14, 12)
(21, 36)
(19, 12)
(17, 12)
(15, 9)
(29, 36)
(43, 12)
(7, 34)
(10, 37)
(29, 19)
(24, 37)
(5, 13)
(29, 13)
(45, 40)
(27, 37)
(2, 34)
(21, 39)
(15, 12)
(13, 12)
(20, 12)
(10, 43)
(43, 11)
(18, 12)
(46, 4)
(45, 4)
(28, 23)
(36, 47)
